Vardas                  Pavarde                 ND1      ND2      ND3      ND4      ND5      ND6      ND7      ND8      ND9      ND10     ND11     ND12     ND13     ND14     ND15     Egz.
Vardas1                 Pavarde1                1        10       6        9        3        10       8        4        8        4        10       6        2        9        5        6
Vardas2                 Pavarde2                7        2        7        5        9        7        3        6        4        6        1        10       6        6        7        6
Vardas3                 Pavarde3                10       10       10       9        7        2        8        7        8        7        10       7        2        1        5        9
Vardas4                 Pavarde4                2        10       8        6        6        10       5        1        4        7        3        1        2        1        7        3
Vardas5                 Pavarde5                4        2        10       9        1        5        4        10       4        2        3        7        3        10       1        1
Vardas6                 Pavarde6                9        4        1        7        2        8        7        2        4        5        9        2        7        3        8        10
Vardas7                 Pavarde7                3        8        3        2        10       7        4        10       3        9        3        7        8        2        1        1
Vardas8                 Pavarde8                9        8        6        1        2        1        9        9        6        10       5        4        1        6        8        10
Vardas9                 Pavarde9                6        5        4        4        3        2        3        3        7        7        6        9        1        9        5        10
Vardas10                Pavarde10               6        1        7        7        7        4        6        1        2        8        7        9        10       1        9        10
Vardas11                Pavarde11               1        4        8        9        7        3        9        5        2        9        5        4        8        6        2        7
Vardas12                Pavarde12               4        10       3        10       7        2        1        8        8        6        1        5        1        5        6        8
Vardas13                Pavarde13               8        6        5        7        2        3        8        2        10       5        9        2        9        9        5        4
Vardas14                Pavarde14               4        2        9        6        5        7        2        6        8        9        1        2        6        6        5        5
Vardas15                Pavarde15               5        2        9        9        2        5        7        8        4        3        5        6        8        2        7        2
Vardas16                Pavarde16               3        3        6        7        9        1        4        5        4        9        1        3        6        10       3        7
Vardas17                Pavarde17               5        10       5        2        7        6        7        6        8        5        2        8        9        1        8        8
Vardas18                Pavarde18               6        7        7        6        10       3        1        3        7        2        7        4        6        3        6        4
Vardas19                Pavarde19               3        8        9        10       6        6        7        1        8        6        8        6        8        10       4        9
Vardas20                Pavarde20               10       7        3        9        10       3        3        10       7        1        6        5        1        4        1        8
Vardas21                Pavarde21               2        2        1        1        10       1        8        4        6        3        2        5        7        8        5        1
Vardas22                Pavarde22               8        3        10       3        8        8        2        4        7        6        2        3        5        7        5        7
Vardas23                Pavarde23               4        2        6        1        1        9        1        10       10       10       9        9        10       1        8        7
Vardas24                Pavarde24               9        1        2        10       8        7        5        10       7        5        8        6        6        6        3        3
Vardas25                Pavarde25               7        8        9        1        5        3        7        9        4        10       4        6        6        9        8        4
Vardas26                Pavarde26               7        9        1        9        8        4        10       8        8        1        2        1        10       8        2        7
Vardas27                Pavarde27               9        6        5        10       6        5        7        1        5        4        10       1        3        8        1        2
Vardas28                Pavarde28               8        1        2        1        4        2        2        10       8        5        10       5        9        3        8        8
Vardas29                Pavarde29               7        3        7        6        2        5        10       9        3        8        3        9        9        8        9        10
Vardas30                Pavarde30               4        8        4        6        3        10       2        4        8        5        8        1        4        9        3        8
Vardas31                Pavarde31               9        7        5        1        10       3        1        7        6        1        3        7        6        2        3        7
Vardas32                Pavarde32               6        7        10       7        3        10       2        4        5        5        1        1        1        2        1        4
Vardas33                Pavarde33               4        9        10       6        9        4        10       4        9        9        4        7        6        5        9        9
Vardas34                Pavarde34               6        3        7        10       6        5        5        9        2        8        5        7        2        8        10       3
Vardas35                Pavarde35               1        7        5        9        1        9        5        9        8        10       9        3        5        1        2        7
Vardas36                Pavarde36               8        3        4        6        7        2        7        4        6        3        3        7        2        3        5        8
Vardas37                Pavarde37               5        1        1        9        10       7        1        4        4        2        8        4        10       3        8        2
Vardas38                Pavarde38               8        9        1        10       10       3        9        7        5        3        7        1        3        2        8        2
Vardas39                Pavarde39               10       10       5        3        6        4        5        10       6        9        6        5        8        1        3        7
Vardas40                Pavarde40               3        6        5        5        10       4        9        1        4        10       6        10       7        3        5        9
Vardas41                Pavarde41               3        9        7        9        8        5        6        4        3        3        2        3        5        1        7        5
Vardas42                Pavarde42               3        4        9        7        4        6        10       7        3        9        6        7        1        2        6        10
Vardas43                Pavarde43               8        7        9        10       3        4        5        7        5        10       9        2        3        10       8        6
Vardas44                Pavarde44               5        7        6        1        3        3        4        8        10       10       6        4        10       9        2        6
Vardas45                Pavarde45               7        8        3        2        4        10       3        3        3        8        1        4        2        1        9        7
Vardas46                Pavarde46               8        1        6        8        3        2        9        2        1        4        4        7        2        3        3        3
Vardas47                Pavarde47               4        5        3        7        4        10       5        4        8        9        3        5        7        4        6        8
Vardas48                Pavarde48               1        6        9        4        5        4        6        3        10       3        10       10       4        2        2        4
Vardas49                Pavarde49               6        3        7        9        6        5        9        7        1        4        4        9        7        9        5        7
Vardas50                Pavarde50               7        6        6        8        1        3        3        10       2        8        10       7        2        8        8        9
Vardas51                Pavarde51               8        2        1        4        1        3        3        10       4        2        2        4        10       1        5        7
Vardas52                Pavarde52               10       3        5        1        7        1        1        2        7        6        6        8        2        1        4        7
Vardas53                Pavarde53               2        8        4        1        9        4        10       4        3        7        8        2        7        4        6        8
Vardas54                Pavarde54               5        6        6        10       5        5        4        6        5        8        7        3        1        5        9        8
Vardas55                Pavarde55               6        6        7        1        8        2        6        5        8        2        8        2        4        4        10       9
Vardas56                Pavarde56               3        4        3        9        4        9        3        7        6        9        6        5        3        8        10       6
Vardas57                Pavarde57               5        9        3        7        7        3        6        6        9        5        1        9        5        9        2        3
Vardas58                Pavarde58               6        2        7        2        8        1        8        7        10       6        1        9        7        5        7        1
Vardas59                Pavarde59               3        4        4        5        4        8        1        8        7        1        7        7        8        8        4        9
Vardas60                Pavarde60               2        2        8        3        7        4        2        1        2        3        2        8        7        8        9        9
Vardas61                Pavarde61               1        4        1        4        7        2        1        4        3        8        9        3        10       3        4        6
Vardas62                Pavarde62               3        4        1        1        8        3        6        2        1        6        8        10       5        5        9        5
Vardas63                Pavarde63               10       8        9        5        3        4        5        8        6        4        4        6        4        2        7        5
Vardas64                Pavarde64               8        8        5        2        10       10       5        10       10       6        8        5        2        6        7        2
Vardas65                Pavarde65               7        5        7        7        6        7        1        7        2        3        1        9        5        6        2        3
Vardas66                Pavarde66               2        7        6        9        8        4        4        9        6        2        5        3        4        7        10       2
Vardas67                Pavarde67               7        3        10       3        8        2        10       5        1        1        3        2        8        4        9        2
Vardas68                Pavarde68               10       4        7        5        6        10       6        5        4        3        3        9        1        7        9        10
Vardas69                Pavarde69               7        7        8        7        3        5        7        1        2        8        4        7        1        1        8        1
Vardas70                Pavarde70               5        4        2        4        10       3        2        5        5        8        3        1        7        7        10       4
Vardas71                Pavarde71               1        4        9        3        3        4        2        10       10       7        3        9        9        3        6        4
Vardas72                Pavarde72               7        5        3        1        5        10       1        8        5        4        9        7        5        10       10       4
Vardas73                Pavarde73               3        4        10       7        6        5        3        2        9        8        6        2        5        2        6        8
Vardas74                Pavarde74               10       6        5        8        10       10       3        2        9        7        2        1        2        10       3        9
Vardas75                Pavarde75               7        6        5        6        5        8        10       6        5        4        10       3        6        2        8        4
Vardas76                Pavarde76               9        8        10       9        8        4        3        3        2        2        2        10       8        7        4        9
Vardas77                Pavarde77               10       10       7        2        7        6        10       6        8        1        7        7        8        2        2        4
Vardas78                Pavarde78               10       2        3        4        6        4        2        4        2        8        1        9        5        1        1        4
Vardas79                Pavarde79               4        8        4        2        4        9        6        6        7        2        8        5        4        4        1        7
Vardas80                Pavarde80               3        5        1        3        7        10       5        6        8        4        3        10       9        1        2        7
Vardas81                Pavarde81               1        7        5        5        2        9        1        7        2        3        7        10       7        7        10       5
Vardas82                Pavarde82               10       4        6        6        6        4        6        5        1        5        2        6        5        9        8        8
