Vardas                  Pavarde                 ND1      ND2      ND3      ND4      ND5      ND6      ND7      ND8      ND9      ND10     ND11     ND12     ND13     ND14     ND15     Egz.
Vardas1                 Pavarde1                10       1        2        7        1        8        4        10       3        5        5        8        5        4        4        6
Vardas2                 Pavarde2                4        1        4        9        4        9        5        9        1        10       5        7        3        3        8        4
Vardas3                 Pavarde3                2        7        4        10       6        2        5        9        7        10       10       4        6        7        7        2
Vardas4                 Pavarde4                4        2        6        5        2        5        6        6        4        7        7        5        6        5        2        2
Vardas5                 Pavarde5                10       2        4        4        2        2        2        9        2        2        10       2        6        2        9        1
Vardas6                 Pavarde6                8        4        5        9        1        10       3        5        7        1        2        5        2        1        4        10
Vardas7                 Pavarde7                9        4        8        2        3        2        10       8        2        9        6        9        1        2        10       7
Vardas8                 Pavarde8                7        9        5        1        10       3        10       9        4        5        5        3        4        9        6        5
Vardas9                 Pavarde9                10       7        7        2        6        2        2        4        2        2        5        9        10       4        4        6
Vardas10                Pavarde10               4        4        2        10       7        9        5        8        1        1        6        2        6        4        6        10
